N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
65,2,10002,0.017874516481750646,time_limit_with_witness,1,0.5014212579990271,55020.0,55020,5.501997102896894e-05,False,1.0,True,False
65,3,10003,0.050386314223878514,time_limit_with_witness,1,0.5018964499995491,8553.0,8553,8.552191651745034e-06,False,0.9999999999855478,True,False
65,4,10004,0.004094321649567689,time_limit_with_witness,1,0.5064662320000934,15.0,15,1.2420436235061061e-08,False,0.9999999870856603,True,False
65,5,10005,0.0017894947033170183,time_limit_with_witness,1,0.5041524609987391,10365.0,10365,1.0362199461155797e-05,False,0.9999035214664737,True,False
65,6,10006,0.028011364384035176,time_limit_with_witness,1,0.5017694199996185,88264.0,88264,8.826441332132617e-05,False,1.0,True,False
65,7,10007,0.0017292016020142853,time_limit_with_witness,1,0.5070643460003339,364.0,364,3.619198380988564e-07,False,1.0,True,False
65,8,10008,0.015687201138559814,time_limit_with_witness,1,0.5060400700003811,6145.0,6145,6.146939469431345e-06,False,0.9999999999903003,True,False
65,9,10009,0.0045990360469261304,time_limit_with_witness,1,0.5035319979997439,7837.0,7837,7.835377800802235e-06,False,0.9998724001531198,True,False
65,10,10010,0.0536071261605926,time_limit_with_witness,1,0.5020954510000593,335194.0,96801,9.679980433929813e-05,False,0.99999999999743,True,False
65,11,10011,0.006816665402061162,time_limit_with_witness,1,0.5019312300009915,35327.000000087966,35327,3.533012749201703e-05,False,0.9999999999932511,True,False
80,0,10000,0.00040399427154724776,time_limit_with_witness,1,0.5017101590001403,2132.0000004637986,2132,2.126428569226846e-06,False,0.9999999999440857,True,False
80,1,10001,0.004423711835656263,time_limit_with_witness,1,0.5073740169991652,30694.0,30694,3.069123158638831e-05,False,0.9999999999963589,True,False
80,2,10002,0.001832211378641091,time_limit_with_witness,1,0.5062855019987182,44984.0,44984,4.498398735108822e-05,False,0.9999777698737329,True,False
80,3,10003,0.00014450816997069182,time_limit_with_witness,1,0.5026066640002682,105099.0,105099,0.00010509802582703287,False,0.9999999999971644,True,False
80,4,10004,0.01002429558466389,time_limit_with_witness,1,0.5034261979999428,14129.0,14129,1.4129135031737405e-05,False,0.9999292235827022,True,False
80,5,10005,0.017200303890849256,time_limit_with_witness,1,0.5021442819997901,374.0,374,3.7288222642928304e-07,False,0.9999999987250343,True,False
80,6,10006,0.0009410157358900051,time_limit_with_witness,1,0.5016326189997926,30637.0,30637,3.0638142419547876e-05,False,1.0,True,False
80,7,10007,0.016381124625297616,time_limit_with_witness,1,0.5030345659997693,9062.0,9062,9.063884988336213e-06,False,0.9999999999852008,True,False
80,8,10008,0.031808178808994114,time_limit_with_witness,1,0.5024490930009051,34864.0,34864,3.4862770185384306e-05,False,0.999971317117944,True,False
80,9,10009,0.0030991200819805442,time_limit_with_witness,1,0.5028682749998552,4771.0,4771,4.7671258798231975e-06,False,1.0,True,False
80,10,10010,0.04508826604959992,time_limit_with_witness,1,0.5021557710006164,105054.0,105054,0.00010505519698966737,False,1.0,True,False
80,11,10011,0.003093426311796321,time_limit_with_witness,1,0.5033278669998253,18622.0,18622,1.8622271397816803e-05,False,0.9999999999783948,True,False
100,0,10000,0.0012229987697516265,time_limit_with_witness,1,0.5021734219990321,16301.0,16301,1.6297974859469377e-05,False,0.999999999970748,True,False
100,1,10001,0.0010966271688523932,time_limit_with_witness,1,0.5014926590010873,18744.0,18744,1.8748139815727427e-05,False,0.9999999999779392,True,False
100,2,10002,0.00023993313531178728,time_limit_with_witness,1,0.5045045530005154,104222.0,104222,0.00010422173373569876,False,0.9999904050968126,True,False
100,3,10003,0.021474324138964107,time_limit_with_witness,1,0.5018781199996738,85473.0,85473,8.547422601168364e-05,False,0.9999999999963389,True,False
100,4,10004,0.0194463976992445,time_limit_with_witness,1,0.5024898829997255,7323.0,7323,7.3232006769785585e-06,False,0.9998634439437389,True,False
100,5,10005,0.002416966988178615,time_limit_with_witness,1,0.5029982050000399,294.0,294,2.947957966625836e-07,False,1.0,True,False
100,6,10006,0.0014870695095652309,time_limit_with_witness,1,0.5048235850008496,4367.0,4367,4.368127953569001e-06,False,0.9997710098465766,True,False
100,7,10007,0.007284895508693268,time_limit_with_witness,1,0.5020583620007528,15935.0,15935,1.5934589505661734e-05,False,0.9999372450580484,True,False
100,8,10008,0.029256641129109084,time_limit_with_witness,1,0.5023874229991634,8871.0,8871,8.867837422599223e-06,False,1.0,True,False
100,9,10009,0.0045147945704115955,time_limit_with_witness,1,0.5048571150000498,1720.0,1720,1.7193795613934526e-06,False,0.9999999998748536,True,False
100,10,10010,0.006682137410905398,time_limit_with_witness,1,0.5028459149998525,70958.0,70958,7.095790707722927e-05,False,0.99999999999811,True,False
100,11,10011,0.0023236660163696854,time_limit_with_witness,1,0.5044910830001754,2098.0,2098,2.0908354585458255e-06,False,1.0,True,False
130,0,10000,0.008823111428803543,time_limit_with_witness,1,0.5019347499983269,53928.0,53928,5.3921905262654946e-05,False,0.9999999999969605,True,False
130,1,10001,0.004601377729969158,time_limit_with_witness,1,0.5022280319990386,89535.0,89535,8.953488756446859e-05,False,0.9999888311833361,True,False
130,2,10002,3.941934709672523e-05,time_limit_with_witness,1,0.5043257720008114,7903.0,7903,7.901444064373209e-06,False,1.0,True,False
130,3,10003,0.012507217206383814,time_limit_with_witness,1,0.5025328930005344,137615.0,137615,0.00013761003889101175,False,0.9999927333502888,True,False
130,4,10004,0.030963005809788058,time_limit_with_witness,1,0.5072098259988707,839.0,839,8.382615703794727e-07,False,0.99880810488677,True,False
130,5,10005,0.00014353133844480226,time_limit_with_witness,1,0.5018247300013172,7902.0,7902,7.904842277639546e-06,False,0.9998734497595545,True,False
130,6,10006,0.0026785317054702773,time_limit_with_witness,1,0.5019792309994955,37736.0,37736,3.773741285328924e-05,False,1.0,True,False
130,7,10007,0.0005673498698683943,time_limit_with_witness,1,0.5023090430004231,3607.0,3607,3.605952457519379e-06,False,1.0,True,False
160,0,10000,0.0016232909459716893,time_limit_with_witness,1,0.5049968260009337,43188.0,43188,4.318769127564792e-05,False,0.9999768454200241,True,False
160,1,10001,0.000746990428041272,time_limit_with_witness,1,0.502269921998959,19797.0,19797,1.9798012871774517e-05,False,0.9999999999969892,True,False
160,2,10002,0.0010734877626106254,time_limit_with_witness,1,0.5022565420003957,13916.0,13916,1.3922501565843959e-05,False,1.0,True,False
160,3,10003,0.015707805435567934,time_limit_with_witness,1,0.5053344879997894,197881.0,197881,0.0001978834731914958,False,0.9999999999997364,True,False
160,4,10004,0.03190123613381246,time_limit_with_witness,1,0.5028365749985824,125209.0,70,7.321320083519822e-08,False,0.9999920133536726,True,False
